Rk_batting,Name,Age_batting,Tm_batting,Lg_x,G_x,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB,CS,BB_x,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,IBB_x,Rk_pitching,Age_pitching,Tm_pitching,Lg_y,W,L,W-L%,ERA,G_y,GS,GF,CG,SHO,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
356,Luke Maile,32,CIN,NL,43,106,99,10,23,7,0,4,13,1,0,6,29,0.232,0.283,0.424,0.707,84,42,5,1,0,0,0,445,32,CIN,NL,0,0,0.0,4.5,2,0,2,0,0,0,2.0,4,1,1,0,0,0,0,0,0,0,10,122,3.29,2.0,18.0,0.0,0.0,0.0,0.0
371,Seth Martinez,28,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,458,28,HOU,AL,2,3,0.4,3.96,31,0,7,0,0,1,38.2,37,21,17,3,17,2,43,6,0,0,172,107,3.86,1.397,8.6,0.7,4.0,10.0,2.53
377,Phil Maton,30,HOU,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,460,30,HOU,AL,2,3,0.4,2.44,47,0,5,0,0,1,48.0,32,17,13,3,16,2,52,7,0,1,193,173,3.37,1.0,6.0,0.6,3.0,9.8,3.25
379,Tim Mayza*,31,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,465,31,TOR,AL,1,1,0.5,1.1,44,0,7,0,0,1,32.2,28,5,4,0,6,0,33,0,0,0,126,383,1.82,1.041,7.7,0.0,1.7,9.1,5.5
384,Scott McGough,33,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,471,33,ARI,NL,1,6,0.143,3.88,43,0,17,0,0,7,48.2,35,24,21,6,20,2,60,1,0,1,201,110,3.72,1.13,6.5,1.1,3.7,11.1,3.0
386,Ryan McKenna,26,BAL,AL,62,89,79,16,20,5,0,2,11,1,0,5,26,0.253,0.315,0.392,0.707,98,31,3,3,0,2,0,473,26,BAL,AL,0,0,0.0,18.0,1,0,1,0,0,0,1.0,4,2,2,0,0,0,0,0,0,0,6,32,3.29,4.0,36.0,0.0,0.0,0.0,0.0
399,Julian Merryweather,31,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,482,31,CHC,NL,3,0,1.0,4.01,43,0,12,0,0,0,42.2,42,20,19,4,22,0,58,0,0,2,190,112,3.34,1.5,8.9,0.8,4.6,12.2,2.64
404,Shelby Miller,32,LAD,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,490,32,LAD,NL,1,0,1.0,2.4,25,0,10,0,0,1,30.0,12,8,8,3,18,1,31,2,0,1,120,186,4.52,1.0,3.6,0.9,5.4,9.3,1.72
412,Rafael Montero,32,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,501,32,HOU,AL,2,3,0.4,6.26,40,0,16,0,0,1,41.2,47,31,29,8,17,0,43,3,0,0,184,67,5.16,1.536,10.2,1.7,3.7,9.3,2.53
415,Jovani Moran*,26,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,505,26,MIN,AL,2,2,0.5,4.31,38,0,10,0,0,0,39.2,31,21,19,3,22,1,46,0,0,2,167,101,3.62,1.336,7.0,0.7,5.0,10.4,2.09
